Name,Symbol
ACC       ,ACC
ABB       ,ABB
AARTIIND  ,AARTIIND
ABBOTINDIA,ABBOTINDIA
AMBUJACEM ,AMBUJACEM
ABCAPITAL ,ABCAPITAL
ABFRL     ,ABFRL
ADANIPORTS,ADANIPORTS
BATAINDIA ,BATAINDIA
AMARAJABAT,AMARAJABAT
APOLLOTYRE,APOLLOTYRE
ASHOKLEY  ,ASHOKLEY
ASIANPAINT,ASIANPAINT
ASTRAL    ,ASTRAL
AUROPHARMA,AUROPHARMA
AXISBANK  ,AXISBANK
ADANIENT  ,ADANIENT
BAJAJ-AUTO,BAJAJ-AUTO
ATUL      ,ATUL
BAJAJFINSV,BAJAJFINSV
BAJFINANCE,BAJFINANCE
BALKRISIND,BALKRISIND
DRREDDY   ,DRREDDY
ESCORTS   ,ESCORTS
BALRAMCHIN,BALRAMCHIN
BANDHANBNK,BANDHANBNK
BANKBARODA,BANKBARODA
BERGEPAINT,BERGEPAINT
BHARATFORG,BHARATFORG
BHEL      ,BHEL
BIOCON    ,BIOCON
INTELLECT ,INTELLECT
BOSCHLTD  ,BOSCHLTD
BPCL      ,BPCL
BRITANNIA ,BRITANNIA
LALPATHLAB,LALPATHLAB
CANBK     ,CANBK
CHOLAFIN  ,CHOLAFIN
CIPLA     ,CIPLA
COLPAL    ,COLPAL
CONCOR    ,CONCOR
COROMANDEL,COROMANDEL
CROMPTON  ,CROMPTON
CUMMINSIND,CUMMINSIND
DABUR     ,DABUR
DALBHARAT ,DALBHARAT
DEEPAKNTR ,DEEPAKNTR
DELTACORP ,DELTACORP
DIVISLAB  ,DIVISLAB
DIXON     ,DIXON
NTPC      ,NTPC
DLF       ,DLF
EICHERMOT ,EICHERMOT
APLLTD    ,APLLTD
EXIDEIND  ,EXIDEIND
FEDERALBNK,FEDERALBNK
GAIL      ,GAIL
GLENMARK  ,GLENMARK
GMRINFRA  ,GMRINFRA
GODREJCP  ,GODREJCP
GRANULES  ,GRANULES
GRASIM    ,GRASIM
HAVELLS   ,HAVELLS
HDFC      ,HDFC
HDFCAMC   ,HDFCAMC
BEL       ,BEL
